baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderStepSpecificStateAdapter,ETTh2,96,0.32162752747535706,0.3272140324115753,0.005586504936218262,0.01736948631253678,0.3711831867694855,0.3768771290779114,0.005693942308425903,0.015339979049110301,17,15,1087456,924240,0.8499102492422682,False
PatchEncoderStepSpecificStateAdapter,ETTh2,192,0.408347487449646,0.3794071674346924,-0.028940320014953613,-0.07087179645870184,0.42434200644493103,0.41050970554351807,-0.013832300901412964,-0.032597057777281474,17,12,1603904,1440528,0.8981385419576234,True
PatchEncoderStepSpecificStateAdapter,ETTh2,336,0.37559330463409424,0.38207828998565674,0.0064849853515625,0.017265976979755324,0.41340965032577515,0.4135362505912781,0.0001266002655029297,0.00030623442245038577,11,11,2378576,2214960,0.931212624696457,False
PatchEncoderStepSpecificStateAdapter,ETTh2,720,0.40287068486213684,0.40683820843696594,0.0039675235748291016,0.009848131730375954,0.4398919343948364,0.4421728849411011,0.0022809505462646484,0.005185252031052977,12,11,4444368,4280112,0.9630417643183463,False
PatchEncoderStepSpecificStateAdapter,ETTm1,96,0.28876325488090515,0.2868218719959259,-0.001941382884979248,-0.0067230953113474705,0.34322261810302734,0.34133297204971313,-0.001889646053314209,-0.005505598855221662,13,14,1087456,924240,0.8499102492422682,True
PatchEncoderStepSpecificStateAdapter,ETTm1,192,0.32705798745155334,0.3246890604496002,-0.002368927001953125,-0.007243140644299448,0.3696807324886322,0.3691631257534027,-0.0005176067352294922,-0.0014001452868399322,13,14,1603904,1440528,0.8981385419576234,True
PatchEncoderStepSpecificStateAdapter,ETTm1,336,0.36233264207839966,0.3655322194099426,0.0031995773315429688,0.008830497062560156,0.39004436135292053,0.3928556740283966,0.0028113126754760742,0.007207674187942786,11,11,2378576,2214960,0.931212624696457,False
PatchEncoderStepSpecificStateAdapter,ETTm1,720,0.40677523612976074,0.4196692407131195,0.012894004583358765,0.03169810607459298,0.4176936149597168,0.4243876338005066,0.006694018840789795,0.016026145962119577,11,12,4444368,4280112,0.9630417643183463,False
PatchEncoderStepSpecificStateAdapter,Weather,96,0.14853712916374207,0.14767061173915863,-0.0008665174245834351,-0.005833675589813083,0.19802692532539368,0.19663727283477783,-0.0013896524906158447,-0.007017492638096547,13,16,1087456,924240,0.8499102492422682,True
PatchEncoderStepSpecificStateAdapter,Weather,192,0.19385626912117004,0.19767192006111145,0.0038156509399414062,0.019682886487186184,0.24242807924747467,0.2442619651556015,0.001833885908126831,0.00756465964594295,17,17,1603904,1440528,0.8981385419576234,False
PatchEncoderStepSpecificStateAdapter,Weather,336,0.24649055302143097,0.2505727708339691,0.004082217812538147,0.016561356054011617,0.27889126539230347,0.286070853471756,0.007179588079452515,0.025743323547093952,13,15,2378576,2214960,0.931212624696457,False
PatchEncoderStepSpecificStateAdapter,Weather,720,0.3280617892742157,0.33104705810546875,0.0029852688312530518,0.009099715141642926,0.33604931831359863,0.34150660037994385,0.005457282066345215,0.01623952726263983,14,15,4444368,4280112,0.9630417643183463,False
