epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,train_error_energy_loss,train_error_smoothness_loss,val_mean_mse,epoch_elapsed_sec,elapsed_sec,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7318687608405468,0.7318687608405468,0.0,0.0,0.0,0.0,0.0,0.0,3.971654476417072e-06,5.9844872860198755e-06,0.3693090043962002,27.977699187002145,27.97770235093776,55,66,65,62,0.21282927691936493,0.3188422620296478,0.2812765836715698,0.36237409710884094,0.3672019839286804,0.4142380654811859,0.6159281730651855,0.547927737236023
2,0.6079429124872531,0.6079429124872531,0.0,0.0,0.0,0.0,0.0,0.0,2.4787763209133118e-05,5.0699476237388165e-05,0.36547844484448433,26.926627487991937,54.90872148703784,66,64,52,66,0.2110442966222763,0.319087952375412,0.2773779630661011,0.35982874035835266,0.3620639741420746,0.4095357656478882,0.6114275455474854,0.5429152846336365
3,0.5435048677027225,0.543504863376579,0.0,0.0,0.0,0.0,0.0,0.0,5.693739333970194e-05,0.00010599406107670098,0.38541121408343315,26.7537113269791,81.66717339796014,67,53,65,63,0.22199739515781403,0.32494208216667175,0.2874201536178589,0.36441972851753235,0.37904176115989685,0.41665178537368774,0.6531855463981628,0.5577099919319153
4,0.492846094792889,0.49284605345418375,0.0,0.0,0.0,0.0,0.0,0.0,0.00021004437366862534,0.00026165665648506783,0.40213147178292274,26.448563375975937,108.11644214903936,67,58,74,49,0.23599748313426971,0.33772167563438416,0.30595651268959045,0.37975019216537476,0.3998867869377136,0.4316253960132599,0.6666851043701172,0.5634311437606812
5,0.4564872458577156,0.4564871291720098,0.0,0.0,0.0,0.0,0.0,0.0,0.0006396888102061336,0.0005557459918940543,0.4028387852013111,26.664395254920237,134.78175528498832,66,63,63,56,0.23511148989200592,0.3362189829349518,0.3038561940193176,0.3781287968158722,0.39803117513656616,0.43056145310401917,0.6743562817573547,0.5654669404029846
6,0.4307656159564372,0.43076530699768373,0.0,0.0,0.0,0.0,0.0,0.0,0.002044522402809068,0.0010810535452272293,0.41427095234394073,27.40547747304663,162.18793078896124,64,47,53,84,0.2416878044605255,0.34211936593055725,0.31376922130584717,0.38483259081840515,0.4094824492931366,0.4379917085170746,0.6921443343162537,0.57331782579422
7,0.40974945995596146,0.40974892772013144,0.0,0.0,0.0,0.0,0.0,0.0,0.004138255664891462,0.0012182878881210326,0.42545438557863235,26.67627942096442,188.86504348297603,56,58,58,76,0.25256532430648804,0.35028305649757385,0.3260466456413269,0.39379969239234924,0.4230124056339264,0.44607606530189514,0.7001931667327881,0.5764477849006653
8,0.388941413933231,0.3889407443423425,0.0,0.0,0.0,0.0,0.0,0.0,0.005627678800010472,0.00110107871093914,0.4248557612299919,26.385540915071033,215.25136076298077,64,53,65,66,0.25486719608306885,0.35223615169525146,0.32749733328819275,0.3951229751110077,0.4224244952201843,0.4462793171405792,0.6946340203285217,0.57411128282547
9,0.3731261768168019,0.37312533538187703,0.0,0.0,0.0,0.0,0.0,0.0,0.007236217315010201,0.001148480913886282,0.42268379777669907,26.04259482200723,241.29471682803705,60,56,67,65,0.2529783844947815,0.3518519401550293,0.32579293847084045,0.3943684697151184,0.4196220636367798,0.44506603479385376,0.6923418045043945,0.5730170607566833
10,0.35709982978240135,0.357098905670066,0.0,0.0,0.0,0.0,0.0,0.0,0.008069319231576482,0.001152006446699811,0.4264519065618515,26.60040321899578,267.89586848195177,65,65,53,65,0.2514357268810272,0.34896042943000793,0.3250359892845154,0.39117804169654846,0.4234975278377533,0.4435177147388458,0.7058383822441101,0.5766273736953735
11,0.3481164008018471,0.3481151945288143,0.0,0.0,0.0,0.0,0.0,0.0,0.010745261547732123,0.0013085695070678353,0.42472875863313675,26.807766627985984,294.7043750990415,57,57,60,74,0.25243157148361206,0.34900668263435364,0.32650676369667053,0.3929833173751831,0.4219443202018738,0.44488951563835144,0.6980323791503906,0.5759969353675842
12,0.3275636661677591,0.32756252490705057,0.0,0.0,0.0,0.0,0.0,0.0,0.0101483411825968,0.0012495211686919287,0.4366283267736435,26.194136335980147,320.89928215404507,54,71,71,52,0.2596440017223358,0.35516905784606934,0.3375559151172638,0.3993878662586212,0.4313514828681946,0.44880926609039307,0.7179619073867798,0.5842809677124023
