arm,label,strategy,future_alignment,dataset,selector,horizons,best_epoch,official_best_epoch,best_selector_mse,official_gap_to_selector_best_pct
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,val_mean,all,4,4,0.36506346613168716,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,short_mean,"96,192",4,4,0.2441490739583969,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,long_mean,"336,720",4,4,0.4859778583049774,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,ETTh2,h720,720,4,4,0.609728991985321,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,val_mean,all,4,4,0.5247254446148872,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,short_mean,"96,192",5,4,0.4432738125324249,0.018330889326811928
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,long_mean,"336,720",4,4,0.6060958206653595,0.0
F1-C0,F1-C0_single_prefix_base,single_720_prefix_risk,off,Weather,h720,720,4,4,0.6595245599746704,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,val_mean,all,1,1,0.36564091593027115,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,short_mean,"96,192",1,1,0.24421754479408264,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,long_mean,"336,720",3,1,0.48606522381305695,0.2055409859535562
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,ETTh2,h720,720,3,1,0.608985960483551,0.4921362630784465
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,val_mean,all,3,3,0.5188502818346024,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,short_mean,"96,192",3,3,0.43651020526885986,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,long_mean,"336,720",3,3,0.6011903584003448,0.0
F1-C1,F1-C1_r3_base,r3_prefix_risk,off,Weather,h720,720,3,3,0.6562829613685608,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,val_mean,all,2,2,0.3648260571062565,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,short_mean,"96,192",7,2,0.2483520209789276,0.9183834612676689
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,long_mean,"336,720",2,2,0.47901926934719086,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,ETTh2,h720,720,2,2,0.6004189848899841,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,val_mean,all,7,7,0.5245704501867294,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,short_mean,"96,192",7,7,0.4423380196094513,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,long_mean,"336,720",7,7,0.6068028807640076,0.0
F1-A0,F1-A0_single_prefix_future_anchor,single_720_prefix_risk,on,Weather,h720,720,7,7,0.6603996753692627,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,val_mean,all,3,3,0.3633577823638916,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,short_mean,"96,192",1,3,0.24195031076669693,1.1487613437214828
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,long_mean,"336,720",3,3,0.48198582231998444,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,ETTh2,h720,720,3,3,0.6004165410995483,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,val_mean,all,1,1,0.5294758379459381,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,short_mean,"96,192",1,1,0.44394880533218384,0.0
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,long_mean,"336,720",4,1,0.6107420921325684,0.6976395571895777
F1-A1,F1-A1_r3_future_anchor,r3_prefix_risk,on,Weather,h720,720,4,1,0.6639634966850281,1.438624622614082
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,val_mean,all,2,2,0.3735262490808964,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,short_mean,"96,192",2,2,0.2618926092982292,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,long_mean,"336,720",2,2,0.48515988886356354,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,ETTh2,h720,720,2,2,0.6048945784568787,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,val_mean,all,6,6,0.5363565161824226,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,short_mean,"96,192",6,6,0.4535243958234787,0.0
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,long_mean,"336,720",2,6,0.6165055334568024,0.43521151700289806
F1-W0,F1-W0_full_time_future_anchor,full_time_mse,on,Weather,h720,720,2,6,0.6708530187606812,0.5129432611825857
