arm,label,dataset,horizons,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,mean_target_state_norm_std,mean_history_readout_norm
F1-A0,F1-A0_single_prefix_future_anchor,ETTh2,4,0.43715787678956985,0.4375161901116371,7.153761982917786,0.39652903378009796,10.220398187637329
F1-A0,F1-A0_single_prefix_future_anchor,Weather,4,0.7664109170436859,0.41730182617902756,8.416492938995361,1.9549605548381805,10.715979099273682
F1-A1,F1-A1_r3_future_anchor,ETTh2,4,0.5130335986614227,0.429624542593956,7.922244071960449,1.1177924275398254,10.163902997970581
F1-A1,F1-A1_r3_future_anchor,Weather,4,0.6970829963684082,0.41668228805065155,8.396147727966309,1.5212907195091248,11.689460754394531
F1-C0,F1-C0_single_prefix_base,ETTh2,4,0.4637604206800461,0.4290974736213684,6.443887233734131,0.753687784075737,10.597638845443726
F1-C0,F1-C0_single_prefix_base,Weather,4,0.7233307659626007,0.42545633763074875,8.862094163894653,1.7152744233608246,10.72643494606018
F1-C1,F1-C1_r3_base,ETTh2,4,0.4445834085345268,0.43432506918907166,6.470165133476257,0.46912266314029694,10.466526746749878
F1-C1,F1-C1_r3_base,Weather,4,0.7804694473743439,0.4097660928964615,9.127822399139404,2.225557029247284,10.463046073913574
F1-W0,F1-W0_full_time_future_anchor,ETTh2,4,0.4328225702047348,0.43144891411066055,7.418954133987427,0.4224158301949501,9.6410813331604
F1-W0,F1-W0_full_time_future_anchor,Weather,4,0.741088017821312,0.42802829295396805,8.157726883888245,1.2552219331264496,11.209193706512451
