model,strategy,future_region,segments,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
PatchEncoderFullTimeMSE720,D0_full_time_mse,early_1_96,12,0,7.5575740777632365,4.827631604846
PatchEncoderFullTimeMSE720,D0_full_time_mse,late_337_720,3,1,2.625715450441657,1.757355096642299
PatchEncoderFullTimeMSE720,D0_full_time_mse,middle_97_336,15,0,3.170684844626718,1.665233995368361
PatchEncoderRandomFutureMask,D2_random_future_mask,early_1_96,12,0,6.52766186848771,5.0970647554622515
PatchEncoderRandomFutureMask,D2_random_future_mask,late_337_720,3,1,0.5339039917311365,1.0720008995423247
PatchEncoderRandomFutureMask,D2_random_future_mask,middle_97_336,15,3,1.4529822381679873,1.0739753168383315
PatchEncoderIntervalSupervision,D3_interval_supervision,early_1_96,12,0,8.017205300066703,6.065698216069027
PatchEncoderIntervalSupervision,D3_interval_supervision,late_337_720,3,2,-0.464617225192739,0.18119974282300907
PatchEncoderIntervalSupervision,D3_interval_supervision,middle_97_336,15,3,2.4636634497124676,1.2911335903082695
PatchEncoderComponentTop,D4_component_basis_top,early_1_96,12,0,6.221305737554511,3.950007539181242
PatchEncoderComponentTop,D4_component_basis_top,late_337_720,3,1,2.48210092752017,1.9467185149780815
PatchEncoderComponentTop,D4_component_basis_top,middle_97_336,15,1,2.9614336600720503,1.5624807202197344
PatchEncoderComponentBalanced,D5_component_basis_balanced,early_1_96,12,0,5.6829849715543945,3.9177194208689037
PatchEncoderComponentBalanced,D5_component_basis_balanced,late_337_720,3,1,2.1052417823085903,1.8192875547282366
PatchEncoderComponentBalanced,D5_component_basis_balanced,middle_97_336,15,2,2.567407023355238,1.510332275480269
PatchEncoderCurriculumUnits,D6_curriculum_units,early_1_96,12,0,6.221305737554511,3.950007539181242
PatchEncoderCurriculumUnits,D6_curriculum_units,late_337_720,3,1,2.48210092752017,1.9467185149780815
PatchEncoderCurriculumUnits,D6_curriculum_units,middle_97_336,15,1,2.9614336600720503,1.5624807202197344
