model,strategy,dataset,horizon,scope,residual_mse,residual_mae,max_abs_residual
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,96,all,0.0,0.0,0.0
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,96,1-96,0.0,0.0,0.0
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,192,all,1.7464086567997583e-06,0.0006681399536319077,0.012443090789020061
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,192,1-96,0.0,0.0,0.0
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,192,97-192,3.492817086225841e-06,0.0013362799072638154,0.012443090789020061
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,336,all,2.3095874439604813e-06,0.000912965799216181,0.010408508591353893
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,336,1-96,0.0,0.0,0.0
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,336,97-336,3.2334223760699388e-06,0.0012781521072611213,0.010408508591353893
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,720,all,0.00030010720365680754,0.008267323486506939,0.1599176526069641
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,720,1-96,0.0,0.0,0.0
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,720,97-336,2.9329110020626104e-06,0.001207722700200975,0.010273845866322517
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,720,337-720,0.0005608678911812603,0.014746405184268951,0.1599176526069641
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,96,all,3.1539031624561176e-05,0.002590474206954241,0.1614215224981308
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,96,1-96,3.1539031624561176e-05,0.002590474206954241,0.1614215224981308
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,192,all,3.495901182759553e-05,0.003158900886774063,0.161421537399292
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,192,1-96,3.1501342164119706e-05,0.0025913796853274107,0.161421537399292
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,192,97-192,3.841668149107136e-05,0.003726421622559428,0.11913047730922699
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,336,all,5.154751124791801e-05,0.003966575022786856,0.161421537399292
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,336,1-96,3.117242522421293e-05,0.002584070200100541,0.161421537399292
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,336,97-336,5.969754420220852e-05,0.0045195771381258965,0.127356618642807
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,720,all,0.00015883705054875463,0.007137683220207691,0.2773757874965668
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,720,1-96,3.102794289588928e-05,0.0025859493762254715,0.1614215075969696
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,720,97-336,5.954904554528184e-05,0.0045237550511956215,0.12735657393932343
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,720,337-720,0.00025284435832872987,0.009909321554005146,0.2773757874965668
